package,status,declaration_version,runtime_package,export_signature_pairs,unique_declarations,distinct_exports,generic_declarations,own_generic_declarations,both_polarities_declarations,first_order_potential_declarations,entry_diagnostic_count,retained_diagnostic_count,exclusion_count,identity,container-element,value-to-container,multiple-arguments,constrained-generic,higher-order,overload-or-discriminated,unsupported
"react-file-input","extracted-with-diagnostics","0.0.9999","react-file-input","4","4","4","3","1","0","0","1","1","1","0","0","0","0","0","0","0","4"
"react-file-reader-input","extracted-with-diagnostics","2.0.9999","react-file-reader-input","9","4","9","3","1","0","0","1","1","0","0","0","0","0","0","0","0","4"
"react-final-form-listeners","extracted-with-diagnostics","1.0.9999","react-final-form-listeners","8","5","8","1","0","0","0","1","1","0","0","0","0","0","0","0","0","5"
"react-flag-icon-css","extracted-with-diagnostics","1.0.9999","react-flag-icon-css","7","7","6","5","1","0","0","2","2","0","0","0","0","0","0","0","2","7"
"react-flatpickr","extracted-with-diagnostics","3.8.9999","react-flatpickr","5","5","4","5","1","0","0","2","2","0","0","0","0","0","0","0","2","5"
"react-flex","extracted-with-diagnostics","2.2.9999","react-flex","10","5","8","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-flexr","extracted-with-diagnostics","2.0.9999","react-flexr","16","10","14","5","1","0","0","1","1","1","0","0","0","0","0","0","2","10"
"react-fontawesome","extracted-with-diagnostics","1.6.9999","react-fontawesome","6","3","6","3","1","0","0","1","1","0","0","0","0","0","0","0","0","3"
"react-form","extracted-with-diagnostics","4.0.9999","react-form","97","28","97","26","2","5","0","1","1","0","0","0","0","0","3","5","0","28"
"react-foundation","extracted-with-diagnostics","0.9.9999","react-foundation","105","18","105","4","1","0","0","1","1","0","0","0","0","0","0","0","0","18"
"react-frame-component","extracted-with-diagnostics","4.1.9999","react-frame-component","11","7","10","6","1","0","0","1","1","0","0","0","0","0","0","0","2","7"
"react-gallery-carousel","extracted-with-diagnostics","0.2.9999","react-gallery-carousel","1","1","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","1"
"react-gamepad","extracted-with-diagnostics","1.0.9999","react-gamepad","5","5","4","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-gateway","extracted-with-diagnostics","2.8.9999","react-gateway","28","12","25","5","1","0","0","1","1","0","0","0","0","0","0","0","2","12"
"react-gauge-chart","extracted-with-diagnostics","0.5.9999","react-gauge-chart","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-geocode","extracted","0.2.9999","react-geocode","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"react-geosuggest","extracted-with-diagnostics","2.7.9999","react-geosuggest","10","10","9","5","1","0","0","1","1","0","0","0","0","0","0","0","2","10"
"react-github-button","extracted-with-diagnostics","0.1.9999","react-github-button","6","3","6","3","1","0","0","1","1","0","0","0","0","0","0","0","0","3"
"react-global-configuration","extracted","1.3.9999","react-global-configuration","4","4","3","1","1","1","1","0","0","0","1","0","0","0","0","0","2","2"
