package,status,export_signature_pairs,selected_entries,extracted_entries,missing_entries,diagnostics
array-binarysearch.closest,extracted,3,1,1,0,0
array-bounds,extracted,1,1,1,0,0
array-find-index,extracted,2,1,1,0,0
array-foreach,extracted,4,1,1,0,0
array-initial,extracted,1,1,1,0,0
array-normalize,extracted,2,2,2,0,0
array-polar,extracted,5,1,1,0,0
array-rearrange,extracted,1,1,1,0,0
array-same,extracted,1,1,1,0,0
array-sort,extracted,2,1,1,0,0
array-to-sentence,extracted,1,1,1,0,0
array-unique,extracted,2,1,1,0,0
array.from,extracted,2,1,1,0,0
array.prototype.every,extracted,4,1,1,0,0
array.prototype.find,extracted,5,1,1,0,0
array.prototype.flat,extracted,20,1,1,0,0
array.prototype.flatmap,extracted,4,1,1,0,0
arrive,extracted,0,1,1,0,0
asana,extracted,473,1,1,0,0
asap,extracted,1,1,1,0,0
ascii-art,extracted,28,1,1,0,0
ascii-cats,extracted,1,1,1,0,0
ascii2mathml,extracted,2,1,1,0,0
asciichart,extracted,2,1,1,0,0
asciify,extracted,5,1,1,0,0
ase-utils,extracted-with-diagnostics,2,1,1,0,5
asenv,extracted-with-diagnostics,6,1,1,0,5
asn1,extracted-with-diagnostics,378,1,1,0,5
aspect-fit,extracted,1,1,1,0,0
aspnet-identity-pw,extracted,4,1,1,0,0
assert,extracted,48,1,1,0,0
assert-equal-jsx,extracted-with-diagnostics,1,1,1,0,1
assert-plus,extracted-with-diagnostics,60,1,1,0,5
assertrc,extracted,14,1,1,0,0
assertsharp,extracted,12,1,1,0,0
assets-webpack-plugin,extracted-with-diagnostics,3,1,1,0,8
asterisk-manager,extracted,1,1,1,0,0
async,extracted,265,1,1,0,0
async-alpine,extracted,1,1,1,0,0
async-busboy,extracted-with-diagnostics,61,1,1,0,5
async-cache,extracted-with-diagnostics,10,1,1,0,1
async-csv,extracted-with-diagnostics,7,1,1,0,5
async-eventemitter,extracted,39,1,1,0,0
async-exit-hook,extracted,7,1,1,0,0
async-iterable-stream,extracted-with-diagnostics,12,1,1,0,5
async-lock,extracted,7,1,1,0,0
async-polling,extracted,1,1,1,0,0
async-rerun,extracted,1,1,1,0,0
async-retry,extracted,2,1,1,0,0
async-stream-emitter,extracted-with-diagnostics,36,1,1,0,5
async-stream-generator,extracted-with-diagnostics,1,1,1,0,5
async-writer,extracted-with-diagnostics,79,1,1,0,5
async.nexttick,extracted,1,1,1,0,0
at-least-node,extracted,1,1,1,0,0
athenajs,extracted,592,1,1,0,0
atlaskit__layer,extracted-with-diagnostics,5,1,1,0,1
atlaskit__single-select,extracted-with-diagnostics,10,1,1,0,1
